,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5
61,2024-10-06,Stade Brestois 29,Le Havre,2,0,1,1,H,8,7,13,13,7,5,8,4,6,6,L,L,W,L,L,L,W,W,L,W
62,2024-10-06,Nice,Paris Saint Germain,1,1,1,0,D,14,20,6,5,9,6,5,9,8,16,D,W,W,D,L,W,W,W,D,W
63,2024-10-18,Monaco,Lille,0,0,0,0,D,14,13,4,8,3,3,5,6,19,13,W,W,W,W,W,D,W,L,D,L
64,2024-10-19,Stade Brestois 29,Rennes,1,1,0,1,D,10,11,13,11,8,11,9,5,9,7,W,L,L,L,W,D,L,W,W,L
65,2024-10-19,Saint Etienne,Lens,0,2,0,0,A,6,7,18,4,7,4,12,2,7,11,W,D,D,D,L,D,W,D,L,D
66,2024-10-19,Paris Saint Germain,Strasbourg,4,2,1,3,H,21,14,6,12,6,9,10,6,17,10,D,D,W,W,D,D,W,D,W,L
67,2024-10-20,Le Havre,Lyon,0,4,0,0,A,7,10,15,12,6,3,5,9,6,10,L,W,L,W,L,L,L,D,W,W
68,2024-10-20,Nantes,Nice,1,1,0,1,D,9,15,8,7,4,10,5,5,9,9,L,D,D,D,D,W,L,L,W,W
69,2024-10-20,Toulouse,Angers,1,1,0,1,D,6,5,10,13,5,3,4,4,5,3,L,D,L,L,L,D,W,D,L,L
70,2024-10-20,Auxerre,Reims,2,1,1,1,H,9,14,15,10,11,6,5,5,6,14,L,W,W,W,L,D,L,W,L,W
71,2024-10-20,Montpellier,Marseille,0,5,0,0,A,8,16,21,8,9,5,11,5,4,14,L,D,L,L,W,W,L,W,L,W
72,2024-10-25,Rennes,Le Havre,1,0,0,1,H,12,7,12,19,12,6,5,5,8,6,D,L,L,L,L,L,D,L,W,L
73,2024-10-26,Angers,Saint Etienne,4,2,2,2,H,6,6,14,20,4,7,4,12,4,7,D,L,D,W,L,D,D,L,D,W
74,2024-10-26,Reims,Stade Brestois 29,1,2,1,0,A,15,11,12,14,7,8,6,10,14,10,L,D,W,W,W,L,D,W,W,L
75,2024-10-26,Lens,Lille,0,2,0,0,A,9,13,4,8,4,3,2,6,14,14,W,D,D,W,D,W,D,D,D,L
76,2024-10-27,Lyon,Auxerre,2,2,1,1,D,14,11,12,16,3,12,9,6,13,9,W,W,W,L,W,W,L,L,D,L
77,2024-10-27,Montpellier,Toulouse,0,3,0,0,A,8,7,26,11,9,5,11,5,4,6,L,D,L,L,L,L,W,L,L,W
78,2024-10-27,Nice,Monaco,2,1,1,1,H,16,14,8,4,11,3,5,5,10,20,D,D,D,W,D,W,W,W,L,W
79,2024-10-27,Strasbourg,Nantes,3,1,1,2,H,16,10,16,9,12,4,7,6,10,10,L,D,D,L,W,D,D,D,D,L
80,2024-10-27,Marseille,Paris Saint Germain,0,3,0,0,A,21,25,8,8,5,7,5,13,17,20,W,W,D,D,L,W,W,D,W,W
81,2024-11-01,Monaco,Angers,0,1,0,0,A,15,10,6,16,4,6,6,6,20,7,L,W,D,D,W,D,W,L,W,D
82,2024-11-01,Lille,Lyon,1,1,1,0,D,15,16,8,14,3,4,6,10,17,14,W,D,D,W,W,W,W,W,D,L
83,2024-11-02,Paris Saint Germain,Lens,1,0,1,0,H,28,9,8,6,7,4,13,2,23,14,W,L,W,W,D,D,W,D,D,D
84,2024-11-02,Stade Brestois 29,Nice,0,1,0,0,A,13,18,15,9,8,12,11,6,13,13,W,W,D,D,W,D,L,D,W,W
85,2024-11-02,Saint Etienne,Strasbourg,2,0,0,2,H,8,19,24,17,9,13,14,9,7,13,L,W,L,L,W,D,D,W,L,D
86,2024-11-03,Toulouse,Reims,1,0,0,1,H,10,16,11,14,5,8,5,6,9,14,W,L,D,L,L,W,L,W,L,D
87,2024-11-03,Auxerre,Rennes,4,0,2,2,H,13,13,18,12,13,12,7,6,10,11,D,W,W,D,L,L,W,L,L,D
88,2024-11-03,Le Havre,Montpellier,1,0,0,1,H,7,8,20,29,7,9,5,11,6,4,L,L,L,L,L,L,L,L,L,W
89,2024-11-03,Nantes,Marseille,1,2,1,0,A,11,21,12,11,6,5,7,5,10,17,L,L,D,W,L,D,D,L,D,W
90,2024-11-08,Marseille,Auxerre,1,3,0,1,A,23,17,12,18,5,15,6,9,20,13,W,W,L,D,W,W,D,L,L,W
91,2024-11-09,Strasbourg,Monaco,1,3,1,0,A,19,15,19,7,15,4,9,6,13,20,L,L,W,L,L,D,D,W,W,W
92,2024-11-09,Lens,Nantes,3,2,1,2,H,9,12,7,14,4,7,3,7,14,10,L,L,L,L,W,D,D,L,D,D
93,2024-11-09,Angers,Paris Saint Germain,2,4,0,2,A,11,29,16,8,6,8,6,13,10,26,W,W,W,W,D,W,D,D,L,W
94,2024-11-10,Nice,Lille,2,2,0,2,D,19,16,9,9,12,4,6,6,16,18,W,D,W,W,D,D,D,W,D,W
95,2024-11-10,Montpellier,Stade Brestois 29,3,1,2,1,H,8,13,30,16,10,8,11,11,4,13,L,L,L,W,L,D,L,W,L,L
96,2024-11-10,Rennes,Toulouse,0,2,0,0,A,13,11,16,11,14,5,8,6,11,12,L,W,W,W,D,D,L,L,L,L
97,2024-11-10,Le Havre,Reims,0,3,0,0,A,8,16,20,15,7,9,6,6,9,14,W,L,L,L,L,L,L,W,L,W
98,2024-11-10,Lyon,Saint Etienne,1,0,1,0,H,17,10,15,24,4,9,11,16,15,10,D,W,D,L,W,L,W,W,W,D
99,2024-11-22,Monaco,Stade Brestois 29,3,2,2,1,H,18,14,8,19,4,9,7,13,23,13,W,L,L,L,L,W,D,D,W,W
100,2024-11-22,Paris Saint Germain,Toulouse,3,0,1,2,H,33,13,10,11,10,5,13,6,29,15,W,W,W,W,W,W,W,D,D,L
101,2024-11-23,Lens,Marseille,1,3,0,1,A,12,24,9,15,5,5,5,7,17,20,W,L,L,W,L,L,W,W,D,D
102,2024-11-23,Saint Etienne,Montpellier,1,0,0,1,H,10,11,25,31,9,12,17,12,10,7,L,W,W,L,L,L,L,L,W,L
103,2024-11-23,Reims,Lyon,1,1,0,1,D,19,18,15,15,9,5,6,11,17,18,W,W,L,D,L,D,L,W,W,W
104,2024-11-24,Lille,Rennes,1,0,1,0,H,18,13,11,18,6,14,6,8,19,11,D,L,D,L,W,W,D,D,W,L
105,2024-11-24,Nantes,Le Havre,0,2,0,0,A,14,8,17,23,9,7,8,6,10,9,L,L,L,W,L,L,D,L,L,L
106,2024-11-24,Auxerre,Angers,1,0,0,1,H,20,13,19,20,16,6,9,8,16,10,W,L,W,W,D,W,W,D,L,D
107,2024-11-24,Nice,Strasbourg,2,1,0,2,H,21,20,11,22,12,16,8,9,17,13,D,L,W,L,W,W,D,L,D,D
108,2024-11-29,Reims,Lens,0,2,0,0,A,20,13,16,12,9,5,7,6,18,17,D,L,W,W,L,L,L,L,L,W
109,2024-11-30,Rennes,Saint Etienne,5,0,2,3,H,13,11,19,25,14,9,9,18,11,13,L,W,L,L,L,W,W,L,D,L
110,2024-11-30,Stade Brestois 29,Strasbourg,3,1,2,1,H,16,21,22,24,10,18,15,9,13,13,L,L,L,L,L,L,W,W,D,L
111,2024-11-30,Paris Saint Germain,Nantes,1,1,1,0,D,36,14,10,19,11,9,15,8,32,10,W,L,W,L,W,L,W,L,W,D
112,2024-12-01,Montpellier,Lille,2,2,1,1,D,11,19,32,11,13,7,12,6,7,22,L,W,W,D,L,D,L,W,L,D
113,2024-12-01,Lyon,Nice,4,1,3,1,H,19,23,16,12,6,12,11,10,19,20,D,W,W,D,D,W,D,W,W,D
114,2024-12-01,Toulouse,Auxerre,2,0,2,0,H,13,21,14,19,7,16,7,10,15,19,L,W,W,W,W,W,W,D,D,W
115,2024-12-01,Le Havre,Angers,0,1,0,0,A,10,13,23,21,7,7,6,8,12,10,W,L,L,L,W,W,L,W,L,D
116,2024-12-01,Marseille,Monaco,2,1,0,2,H,27,21,16,10,6,6,7,8,23,26,W,W,L,W,W,L,L,L,W,D
117,2024-12-06,Lille,Stade Brestois 29,3,1,2,1,H,21,19,13,23,8,12,7,16,23,16,D,W,W,L,D,L,D,L,W,W
118,2024-12-06,Auxerre,Paris Saint Germain,0,0,0,0,D,21,37,21,11,16,12,12,15,19,33,L,D,W,W,W,W,W,W,D,W
119,2024-12-07,Monaco,Toulouse,2,0,0,2,H,22,15,12,14,8,9,8,7,26,18,L,W,W,L,W,W,L,W,L,W
120,2024-12-07,Nice,Le Havre,2,1,0,2,H,24,10,16,24,13,7,13,6,20,12,L,L,W,W,D,L,W,W,W,L
121,2024-12-07,Angers,Lyon,0,3,0,0,A,14,23,21,17,7,9,8,12,13,22,W,W,L,D,L,W,W,D,W,D
122,2024-12-08,Lens,Montpellier,2,0,1,1,H,15,13,12,34,5,14,6,13,20,8,W,D,L,L,W,W,L,L,L,L
123,2024-12-08,Nantes,Rennes,1,0,0,1,H,15,18,20,19,9,16,9,12,11,14,D,W,L,L,L,L,L,L,L,W
124,2024-12-08,Strasbourg,Reims,0,0,0,0,D,22,20,27,18,19,9,11,7,13,18,L,L,L,D,L,W,L,L,W,L
125,2024-12-08,Saint Etienne,Marseille,0,2,0,0,A,11,29,30,17,12,6,20,9,13,26,L,W,W,W,L,L,W,W,L,L
126,2024-12-13,Toulouse,Saint Etienne,2,1,0,2,H,15,11,16,32,11,12,7,20,18,13,L,L,W,L,L,W,W,L,W,W
127,2024-12-14,Marseille,Lille,1,1,1,0,D,31,24,17,14,6,10,9,8,29,26,W,W,W,D,W,W,L,D,W,D
128,2024-12-14,Auxerre,Lens,2,2,1,1,D,21,17,21,12,16,6,12,7,20,23,D,W,L,W,W,L,W,W,W,L
129,2024-12-14,Reims,Monaco,0,0,0,0,D,20,24,18,12,9,8,7,10,19,29,D,W,L,L,D,W,W,W,L,L
130,2024-12-15,Montpellier,Nice,2,2,1,1,D,13,26,36,17,15,13,14,15,8,23,L,W,D,L,L,W,W,D,L,W
131,2024-12-15,Rennes,Angers,2,0,1,1,H,18,14,20,24,17,7,12,8,14,13,L,L,W,W,L,L,L,L,L,W
132,2024-12-15,Stade Brestois 29,Nantes,4,1,2,2,H,20,16,26,20,13,9,18,10,16,14,L,W,W,D,L,L,L,L,L,L
133,2024-12-15,Le Havre,Strasbourg,0,3,0,0,A,11,22,26,27,9,19,6,11,12,14,L,D,L,L,W,L,L,L,W,L
134,2024-12-15,Paris Saint Germain,Lyon,3,1,2,1,H,37,26,11,17,12,9,15,12,34,25,D,W,D,W,W,D,W,W,W,D
135,2024-12-18,Monaco,Paris Saint Germain,2,4,0,2,A,24,40,12,12,8,14,10,16,30,37,D,W,W,D,L,D,W,W,W,W
136,2025-01-03,Nice,Rennes,3,2,3,0,H,28,20,19,20,14,18,16,13,24,17,D,W,W,L,L,W,W,L,D,L
137,2025-01-04,Saint Etienne,Reims,3,1,0,3,H,12,20,34,18,14,9,20,7,13,20,L,D,L,D,L,L,W,D,L,W
138,2025-01-04,Lille,Nantes,1,1,1,0,D,25,17,15,24,10,11,9,12,27,14,D,L,W,W,D,D,W,L,D,L
139,2025-01-04,Lyon,Montpellier,1,0,0,1,H,27,15,20,38,10,16,14,15,25,9,L,D,W,L,W,D,D,L,W,W
140,2025-01-05,Angers,Stade Brestois 29,2,0,1,1,H,14,24,26,27,8,15,9,20,13,19,L,W,L,L,W,W,L,L,L,L
141,2025-01-05,Strasbourg,Auxerre,3,1,1,2,H,25,23,27,23,19,17,11,13,17,21,W,D,D,D,L,L,L,W,L,W
142,2025-01-05,Lens,Toulouse,0,1,0,0,A,19,17,14,17,7,11,8,9,24,21,D,W,W,L,W,W,L,L,W,W
143,2025-01-05,Marseille,Le Havre,5,1,3,2,H,32,11,18,29,7,9,9,6,30,12,D,L,W,L,W,L,W,W,L,L
144,2025-01-10,Nantes,Monaco,2,2,1,1,D,18,26,25,16,11,8,13,12,15,30,D,L,L,D,W,W,D,L,L,W
145,2025-01-10,Auxerre,Lille,0,0,0,0,D,24,26,26,16,19,11,14,9,21,28,L,D,D,D,D,W,L,D,W,W
146,2025-01-11,Stade Brestois 29,Lyon,2,1,2,0,H,24,28,29,20,16,10,21,15,19,28,L,W,W,L,L,W,W,W,L,D
147,2025-01-11,Reims,Nice,2,4,1,1,A,21,31,21,21,12,17,7,16,20,27,L,W,D,D,D,W,L,L,D,W
148,2025-01-11,Rennes,Marseille,1,2,1,0,A,22,37,23,19,18,10,16,11,17,33,L,W,W,D,L,W,W,W,L,W
149,2025-01-12,Le Havre,Lens,1,2,1,0,A,12,19,34,15,11,7,9,8,12,24,L,L,L,D,L,W,L,W,W,L
150,2025-01-12,Montpellier,Angers,1,3,0,1,A,15,16,39,26,17,9,15,10,9,16,L,W,D,L,L,L,D,W,L,L
151,2025-01-12,Toulouse,Strasbourg,1,2,1,0,A,18,28,17,28,11,20,9,13,24,20,W,W,W,W,L,D,W,L,L,L
152,2025-01-12,Paris Saint Germain,Saint Etienne,2,1,2,0,H,44,15,14,35,16,14,16,23,40,16,W,W,W,L,D,L,D,L,W,W
153,2025-01-17,Montpellier,Monaco,2,1,0,2,H,16,28,42,18,17,9,16,13,9,31,L,D,L,L,D,D,L,W,D,L
154,2025-01-17,Lille,Nice,2,1,0,2,H,26,35,16,23,11,18,9,17,29,30,D,W,D,W,D,D,W,W,D,L
155,2025-01-18,Lens,Paris Saint Germain,1,2,1,0,A,21,46,16,15,7,18,9,16,27,43,W,W,L,W,D,W,W,D,W,D
156,2025-01-18,Rennes,Stade Brestois 29,1,2,0,1,A,23,26,25,30,19,18,16,21,17,22,L,W,L,L,W,W,L,L,W,W
157,2025-01-18,Lyon,Toulouse,0,0,0,0,D,29,19,22,19,10,12,17,9,28,24,L,L,W,W,L,W,W,L,W,W
158,2025-01-19,Saint Etienne,Nantes,1,1,0,1,D,16,20,37,27,14,12,25,14,16,16,L,D,W,D,L,L,L,W,L,D
159,2025-01-19,Angers,Auxerre,2,0,1,1,H,19,24,27,26,10,19,10,14,19,22,W,D,W,L,L,D,L,D,W,L
160,2025-01-19,Reims,Le Havre,1,1,1,0,D,23,13,25,36,13,12,8,9,20,12,L,L,L,L,D,L,D,L,L,L
161,2025-01-19,Marseille,Strasbourg,1,1,0,1,D,39,30,20,29,10,20,12,14,36,23,W,W,W,W,D,W,W,D,W,L
162,2025-01-24,Auxerre,Saint Etienne,1,1,1,0,D,24,17,28,38,20,14,15,26,22,17,L,D,D,L,L,W,D,L,D,L
163,2025-01-25,Monaco,Rennes,3,2,1,2,H,29,24,20,27,11,19,13,17,31,17,L,L,D,L,L,L,D,W,W,L
164,2025-01-25,Strasbourg,Lille,2,1,0,2,H,31,28,30,17,21,11,14,11,24,32,D,W,W,D,W,D,W,D,D,W
165,2025-01-25,Paris Saint Germain,Reims,1,1,0,1,D,48,24,16,26,18,14,17,8,46,21,W,D,W,L,W,L,W,D,D,D
166,2025-01-26,Le Havre,Stade Brestois 29,0,1,0,0,A,14,28,37,31,12,19,10,21,13,25,D,W,L,W,L,L,L,W,L,L
167,2025-01-26,Nantes,Lyon,1,1,0,1,D,21,29,28,22,13,10,14,17,17,29,D,D,D,L,D,W,L,L,W,W
168,2025-01-26,Toulouse,Montpellier,1,2,0,1,A,19,18,19,43,12,17,9,18,25,12,D,W,L,L,W,L,W,D,L,L
169,2025-01-26,Lens,Angers,1,0,0,1,H,22,21,18,27,8,11,9,11,27,22,L,W,W,W,L,W,D,L,W,L
170,2025-01-26,Nice,Marseille,2,0,1,1,H,36,40,25,21,20,10,17,13,30,37,L,D,W,W,W,W,D,D,W,W
171,2025-01-31,Montpellier,Lens,0,2,0,0,A,20,23,44,18,18,8,18,10,15,30,W,W,W,L,L,W,L,L,D,D
172,2025-02-01,Stade Brestois 29,Paris Saint Germain,2,5,0,2,A,29,49,31,17,19,18,21,18,28,47,W,D,W,W,W,W,L,W,W,W
173,2025-02-01,Monaco,Auxerre,4,2,1,3,H,32,25,22,29,12,21,15,15,34,23,W,D,L,L,D,D,L,L,D,D
174,2025-02-01,Lille,Saint Etienne,4,1,1,3,H,29,18,19,39,13,14,11,27,32,18,L,D,W,D,D,L,D,W,D,L
175,2025-02-02,Toulouse,Nice,1,1,0,1,D,20,38,21,25,12,21,10,18,25,33,L,W,D,L,L,W,W,W,W,D
176,2025-02-02,Angers,Le Havre,1,1,0,1,D,21,14,28,38,12,12,11,10,22,13,L,L,W,D,W,L,W,L,L,L
177,2025-02-02,Reims,Nantes,1,2,1,0,A,25,22,27,29,15,13,8,15,22,18,D,D,D,D,L,D,L,D,D,L
178,2025-02-02,Rennes,Strasbourg,1,0,0,1,H,26,33,30,31,21,21,18,16,17,27,L,W,L,D,L,W,L,W,W,W
179,2025-02-02,Marseille,Lyon,3,2,0,3,H,40,30,23,23,11,11,14,17,37,30,L,D,D,D,W,L,W,W,D,L
180,2025-02-07,Nantes,Stade Brestois 29,0,2,0,0,A,24,31,30,36,13,19,16,23,21,28,W,L,D,W,D,W,D,W,D,L
181,2025-02-07,Paris Saint Germain,Monaco,4,1,1,3,H,54,36,19,24,20,13,18,18,50,37,W,W,D,W,W,L,W,D,W,L
182,2025-02-08,Nice,Lens,2,0,1,1,H,39,25,26,18,22,8,18,10,34,33,D,W,W,W,L,L,W,W,W,L
183,2025-02-08,Lille,Le Havre,1,2,0,1,A,33,15,20,39,14,13,14,10,35,14,W,D,L,L,W,D,D,L,D,L
184,2025-02-08,Saint Etienne,Rennes,0,2,0,0,A,19,27,43,30,17,21,28,19,18,20,L,W,D,L,D,L,L,L,W,L
185,2025-02-09,Lyon,Reims,4,0,1,3,H,32,26,26,29,14,16,17,8,30,22,L,L,D,D,D,D,L,L,W,L
186,2025-02-09,Strasbourg,Montpellier,2,0,1,1,H,33,20,32,46,22,18,16,18,27,15,L,L,W,W,D,W,W,L,W,L
187,2025-02-09,Auxerre,Toulouse,2,2,0,2,D,27,21,33,22,24,12,16,11,23,26,L,D,D,L,L,D,D,L,L,W
188,2025-02-09,Angers,Marseille,0,2,0,0,A,22,43,29,25,12,11,12,17,23,40,D,W,L,L,W,D,W,W,W,W
189,2025-02-14,Stade Brestois 29,Auxerre,2,2,0,2,D,33,29,36,35,19,24,23,18,31,24,W,D,L,L,W,D,W,L,W,D
190,2025-02-15,Marseille,Saint Etienne,5,1,1,4,H,45,19,25,45,11,17,17,28,43,18,W,L,W,L,L,D,D,D,W,L
191,2025-02-15,Monaco,Nantes,7,1,2,5,H,37,24,28,32,16,13,19,16,37,21,L,L,W,W,W,D,L,D,D,D
192,2025-02-15,Toulouse,Paris Saint Germain,0,1,0,0,A,23,58,24,20,14,21,11,21,27,53,D,W,D,W,L,D,D,W,L,W
193,2025-02-16,Montpellier,Lyon,1,4,1,0,A,20,36,48,26,19,15,19,20,15,33,L,W,L,L,W,D,W,D,L,L
